Path,Lines,Bytes,PartialPet
"desktop-pet/Core/Display/DisplayGeometry.cs","147","5439","false"
"desktop-pet/PetDailyContentCoordinator.cs","146","7007","false"
"desktop-pet/Features/KeyboardOverlay/KeyboardInputFormatter.cs","142","5842","false"
"desktop-pet/Features/StickyNotes/StickyLinkService.cs","142","5645","false"
"desktop-pet/Features/StickyNotes/StickyPlacementRuntime.cs","140","5502","false"
"desktop-pet/PetContextMenu.cs","135","6499","false"
"desktop-pet/Core/DailyContent/ZodiacDailyCatalog.cs","131","10449","false"
"desktop-pet/Features/StickyNotes/StickyHostedRuntime.cs","130","4343","false"
"desktop-pet/Core/Calendar/SolarTermCalculator.cs","128","5392","false"
"desktop-pet/Features/KeyboardOverlay/KeyboardFocusSnapshot.cs","127","4719","false"
"desktop-pet/ScaleDialog.cs","124","4599","false"
"desktop-pet/Tests/SideTabEdgeLayoutTests.cs","123","5167","false"
"desktop-pet/Core/Display/DisplayTopologyRules.cs","123","5723","false"
"desktop-pet/StartupLoadingThreadHost.cs","122","4133","false"
"desktop-pet/PetSmallTalkCoordinator.cs","119","4624","false"
"desktop-pet/Program.cs","118","5156","false"
"desktop-pet/Core/DailyContent/CuratedDailyLineCatalog.cs","117","10170","false"
"desktop-pet/Core/Settings/PetSettingsData.cs","109","4722","false"
"desktop-pet/Tests/StickySessionTopologyContractTests.cs","107","4703","false"
"desktop-pet/Infrastructure/SelfTestCommandRouter.cs","106","4824","false"
"desktop-pet/Core/Interaction/PetDailyInteractionLedger.cs","106","3721","false"
"desktop-pet/Tests/DockMixedDpiResizeTests.cs","102","3825","false"
"desktop-pet/PetHoverRuntime.cs","99","3277","true"
"desktop-pet/Tests/StickyDockRestoreBoundaryTests.cs","97","5640","false"
"desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","95","4091","false"
"desktop-pet/DockPulseIndicator.cs","94","3203","false"
"desktop-pet/Tests/DisplayRuntimeArchitectureGuardTests.cs","94","3386","false"
"desktop-pet/PetWindowLayerCoordinator.cs","90","3021","false"
"desktop-pet/Tests/DockZOrderContractTests.cs","90","3788","false"
"desktop-pet/Infrastructure/Weather/OpenMeteoGeocodingClient.cs","89","3171","false"
"desktop-pet/Tests/SideTabCompactMetricsTests.cs","88","3075","false"
"desktop-pet/Tests/DockDragLifecycleContractTests.cs","86","4230","false"
"desktop-pet/Features/StickyNotes/StickyAppearanceCoordinator.cs","82","3458","false"
"desktop-pet/Features/StickyNotes/StickyNoteLinks.cs","81","3104","false"
"desktop-pet/PennyApplicationHost.cs","81","3195","false"
"desktop-pet/Core/DailyContent/PetBirthdayRule.cs","79","2988","false"
"desktop-pet/Infrastructure/Display/WindowsWindowPlacementExecutor.cs","79","3137","false"
"desktop-pet/Core/Display/DisplayPlacementModels.cs","78","3093","false"
"desktop-pet/Core/Art/PetArtRules.cs","78","3111","false"
"desktop-pet/Features/StickyNotes/StickyLinkPolicy.cs","77","3143","false"
"desktop-pet/PetDaypartCheckInCoordinator.cs","76","3225","false"
"desktop-pet/Infrastructure/Weather/OpenMeteoForecastClient.cs","76","2762","false"
"desktop-pet/Tests/CoreArchitectureTests.cs","76","2767","false"
"desktop-pet/Core/DailyContent/Weather/WeatherLocation.cs","76","2657","false"
"desktop-pet/Core/DailyContent/DailyContentRules.cs","74","2419","false"
"desktop-pet/Core/DailyContent/Almanac/AlmanacSemanticCatalog.cs","73","2853","false"
"desktop-pet/Core/Display/DockInteractionState.cs","72","4434","false"
"desktop-pet/Features/Art/PetArtFrameRenderer.cs","68","2981","false"
"desktop-pet/Infrastructure/CommandLineArguments.cs","67","2121","false"
"desktop-pet/Core/StickyNotes/StickyTabDropSession.cs","64","1820","false"
"desktop-pet/Tests/PetSettingsPlacementCodecTests.cs","64","2568","false"
"desktop-pet/Core/Display/StickySpawnPolicy.cs","64","3152","false"
"desktop-pet/Core/Reminders/PetReminderCoordinator.cs","64","1787","false"
"desktop-pet/Core/Display/FallbackDisplayPolicy.cs","62","2416","false"
"desktop-pet/Core/DailyContent/PetBirthdayWordingCatalog.cs","60","1994","false"
"desktop-pet/Core/Keyboard/KeyDisplayAccumulator.cs","59","1878","false"
"desktop-pet/Core/Persona/PetSolarTermAttachmentCatalog.cs","58","2078","false"
"desktop-pet/Infrastructure/Display/WindowsDisplayContext.cs","57","2274","false"
"desktop-pet/Infrastructure/Display/WindowsWindowFactsReader.cs","57","2538","false"
"desktop-pet/Infrastructure/Display/WindowsBatchWindowPlacementExecutor.cs","57","2283","false"
"desktop-pet/PetDailyInteractionRuntime.cs","57","1999","true"
"desktop-pet/Tests/WindowFactsVersionRulesTests.cs","56","2990","false"
